08,1520,LC,70120,143500,B03,B15,CR,1300,23093601
09,1532,LC,70289,143573,B03,B15,CR,1300,23093601
10,1536,LC,70380,144080,B03,B15,CR,1300,23093601
11,1539,LC,70380,144380,B03,B15,CR,1300,23093601
12,1555,LC,70050,144390,B03,B15,CR,1300,23093601
13,1602,LC,70050,145160,B03,B15,CR,1300,23093601
14,1615,LC,70380,145290,B03,B15,CR,1300,23093601
15,1619,LC,70380,145510,B03,B15,CR,1300,23093601
16,1623,SI,70313,145553,B03,B15,CR,1250,RS,1,SW,23093601
17,1631,LC,70050,145410,B03,B15,CR,1250,23093601
18,1654,LD,2,70120,148300,B03,B15,CR,1250
00,0000,00,0,00000,000000,B02,B20,CR,1500,22,BH,5,090,24093701
08,1036,SD,69547,141510,B02,B20,CR,1500,24093701
09,1039,SI,69557,141471,B02,B20,CR,1500,5,BH,2,270,24093701
10,1041,SI,69564,141499,B02,B20,CR,1500,20,BH,5,210,SW,24093701
11,1045,SD,69569,141501,B02,B20,CR,1500,24093701
12,1054,SI,69562,141473,B02,B20,CR,1500,5,BH,15,270,24093701
13,1101,SD,69555,141465,B02,B20,CR,1500,24093701
14,1118,SI,69570,141440,B02,B20,CR,1500,4,BH,2,150,SW,24093701
15,1120,SI,69556,141520,B02,B20,CR,1500,8,BH,3,150,24093701
16,1124,SI,69552,141470,B02,B20,CR,1500,4,BH,1,090,DV,24093701
17,1154,SI,69561,141515,B02,B20,CR,1500,26,BH,1,270,24093701
18,1154,PO,69561,141515,B02,B20,CR,1500,24093701
19,1313,LD,2,70120,148300,B02,B20,CR,1500,24093701
01,1515,LA,1R,70120,148300,B03,B05,OC,1000,24093801
02,1524,LC,70270,148490,B03,B05,OC,1000,24093801
03,1531,LC,70390,148490,B03,B05,OC,1000,24093801
04,1535,LC,70390,148170,B03,B05,OC,1000,24093801
05,1540,LC,70230,148100,B03,B05,OC,1000,24093801
06,1545,LC,70200,147470,B03,B05,OC,1000,24093801
07,1557,LC,70390,147360,B03,B05,OC,1000,24093801
08,1602,LC,70390,147050,B03,B05,OC,1000,24093801
09,1607,SD,70323,147007,B03,B05,OC,1000,24093801
10,1614,LC,70120,147000,B03,B05,OC,1000,24093801
11,1617,LC,70120,146330,B03,B05,OC,1000,24093801
12,1632,LC,70390,146560,B03,B05,OC,1000,24093801
13,1634,PO,70388,146362,B03,B05,OC,1000,24093801
14,1643,LC,70390,146050,B03,B05,OC,1000,24093801
15,1655,LC,2,70120,146291,B03,B05,OC,1000,24093801
01,0909,LA,1R,70104,146511,B01,B30,CR,1500,26093901
02,0943,PO,70111,143192,B01,B30,CR,1500,26093901
03,0945,PO,70100,143097,B01,B30,CR,1500,26093901
04,0954,LC,70066,142083,B01,B30,CR,1500,26093901
05,1002,SI,69573,141419,B01,B30,CR,1500,BH,1,26093901
06,1007,SI,69498,141184,B01,B30,CR,1500,2,2,090,26093901
07,1008,SI,69450,141112,B01,B30,CR,1500,20,2,270,26093901
08,1008,SI,69450,141112,B01,B30,CR,1500,15,3,090,26093901
09,1009,SI,69450,141112,B01,B30,CR,1500,11,2,26093901
10,1011,SI,69450,141112,B01,B30,CR,1500,09,2,180,26093901
11,1013,SI,69475,141078,B01,B30,CR,1200,14,2,090,26093901
12,1014,SI,69443,141024,B01,B30,CR,1200,4,26093901
13,1019,SI,69420,140587,B01,B30,CR,1000,4,2,26093901
14,1020,SI,69443,141042,B01,B30,CR,1000,25,3,26093901
15,1023,SI,69474,141149,B01,B30,CR,1000,27,1,26093901
16,1024,SI,69468,141085,B01,B30,CR,1000,24,2,26093901
17,1025,SI,69468,141085,B01,B30,CR,1000,4,1,26093901
18,1028,SI,69430,141021,B01,B30,CR,1000,33,1,26093901
19,1028,SI,69430,141021,B01,B30,CR,1000,12,1,26093901
20,1029,SI,69419,140579,B01,B30,CR,1000,11,1,26093901
21,1030,SI,69455,141049,B01,B30,CR,1000,3,BH,1,26093902
22,1032,SI,69466,141005,000,000,CR,1000,5,1,26093902
30,1104,SI,69573,142054,B01,B30,CR,1000,4,2,26093902
31,1106,SI,70005,142142,B01,B30,CR,1000,21,RS,1,26093902
32,1112,PO,70073,142523,B01,B30,CR,1000,26093902
33,1140,PO,70243,146000,B01,B30,CR,1500,26093902
34,1145,SI,70231,146325,B01,B30,CR,1500,36,BH,2,DV,26093902
35,1148,SD,70240,146326,B01,B30,CR,1500,26093902
36,1219,LD,2,70120,148300,B01,B30,CR,1500,26093902
01,1330,LA,1R,70120,148300,26094001
02,1344,LC,70270,148420,B01,B20,CR,1400,26094001
03,1348,SD,70320,148399,B01,B20,CR,1400,26094001
04,1354,LC,70400,148430,B01,B20,CR,1400,26094001
05,1358,LC,70391,148211,B01,B20,CR,1000,26094001
06,1359,LC,70400,148150,B01,B20,CR,1000,26094001
07,1403,LC,70301,148146,B01,B20,CR,1000,26094001
08,1406,LC,70230,148130,B01,B20,CR,1000,26094001
09,1417,LC,70190,147480,B01,B20,CR,1000,26094001
10,1421,LC,70400,147510,B01,B20,CR,1000,26094001
11,1426,LC,70400,147170,B01,B20,CR,1000,26094001
12,1433,LC,70294,147182,B01,B20,CR,1000,26094001
13,1443,LC,70120,147260,B01,B20,CR,1000,26094001
14,1452,LC,70120,146340,B01,B20,CR,1000,26094001
15,1458,SI,70252,146459,B01,B20,CR,1000,PN,1,030,SW,26094001
16,1504,LC,70400,146550,B01,B20,CR,1000,26094001
17,1508,LC,70400,146260,B01,B20,CR,1000,26094001
18,1520,LC,2,70120,146050,B01,B20,CR,1000,26094001
19,1526,LC,1R,70110,145440,B01,B20,CR,1500,26094101
20,1537,LC,70380,145490,B01,B20,CR,1500,26094101
21,1543,LC,70380,145180,B01,B20,CR,1400,26094102
22,1557,LC,70060,145150,B01,B20,CR,1400,26094102
23,1602,LC,70060,144490,B01,B20,CR,1400,26094102
24,1610,LC,70400,144300,B01,B20,CR,1400,26094102
25,1614,LC,70400,144180,B01,B20,CR,1400,26094102
26,1620,LC,70060,144150,B01,B20,CR,1400,26094102
27,1714,LD,2,70120,148380,B01,B20,CR,1400,26094102
01,1330,LA,1R,70120,148308,B10,OC,000,08104201
